Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Single_T2.1,Coverage (%) Chronic_T4.1,Coverage (%) Control_T1.1,Coverage (%) Episodic_T3.1,Coverage (%) Control_T1.2,Coverage (%) Episodic_T3.2,Coverage (%) Chronic_T4.2,Coverage (%) Single_T2.2,Coverage (%) Control_T1.3,Coverage (%) Episodic_T3.3,Coverage (%) Single_T2.3,Coverage (%) Chronic_T4.3,Area Single_T2.1,Area Chronic_T4.1,Area Control_T1.1,Area Episodic_T3.1,Area Control_T1.2,Area Episodic_T3.2,Area Chronic_T4.2,Area Single_T2.2,Area Control_T1.3,Area Episodic_T3.3,Area Single_T2.3,Area Chronic_T4.3,#Peptides,#Unique,#Spec Single_T2.1,#Spec Chronic_T4.1,#Spec Control_T1.1,#Spec Episodic_T3.1,#Spec Control_T1.2,#Spec Episodic_T3.2,#Spec Chronic_T4.2,#Spec Single_T2.2,#Spec Control_T1.3,#Spec Episodic_T3.3,#Spec Single_T2.3,#Spec Chronic_T4.3,PTM,Avg. Mass,Description
879,153,TRINITY_DN47232_c0_g1_i2.p1,235.65,23,2,14,4,4,13,2,14,2,0,13,3,7,5.6943E5,6.5641E6,8.8952E5,2.3751E6,9.3797E6,4.0331E5,2.039E7,9.9031E5,,5.6127E6,8.5479E5,6.9751E6,15,15,1,9,2,2,8,1,9,1,0,6,2,4,Carbamidomethylation; Oxidation (M); Methylation(others); Mutation,72398,TRINITY_DN47232_c0_g1_i2.p1
879,154,TRINITY_DN47232_c0_g1_i1.p1,235.65,22,2,14,4,4,12,2,14,2,0,12,3,7,5.6943E5,6.5641E6,8.8952E5,2.3751E6,9.3797E6,4.0331E5,2.039E7,9.9031E5,,5.6127E6,8.5479E5,6.9751E6,15,15,1,9,2,2,8,1,9,1,0,6,2,4,Carbamidomethylation; Oxidation (M); Methylation(others); Mutation,75344,TRINITY_DN47232_c0_g1_i1.p1
246,281,TRINITY_DN46493_c2_g1_i1.p1,235.58,55,43,39,37,41,37,43,36,38,41,42,39,42,6.257E7,1.2276E8,3.6863E7,6.5754E7,7.3888E7,9.4686E7,7.2944E7,9.6763E7,5.7634E7,1.407E8,4.4899E7,7.7751E7,17,17,15,17,10,14,15,18,14,19,14,20,13,17,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(others); Dehydration; 2 more,28693,TRINITY_DN46493_c2_g1_i1.p1
192,2086,TRINITY_DN36671_c0_g1_i1.p1,235.11,31,22,22,22,31,22,31,31,22,22,22,22,31,8.1499E7,5.4762E7,1.99E7,5.3095E7,4.7411E7,2.0102E8,6.8045E6,1.1903E8,9.4109E7,2.496E8,5.5185E7,2.8265E7,17,3,18,16,19,20,20,28,12,24,21,22,22,14,Carbamidomethylation; Deamidation (NQ); Mutation,12978,TRINITY_DN36671_c0_g1_i1.p1
632,412,TRINITY_DN46124_c0_g2_i1.p1,234.69,54,21,17,12,30,26,39,26,25,25,37,28,37,2.9032E6,9.6116E6,1.6944E6,4.3311E6,4.7615E6,1.8436E7,4.5384E6,5.0893E6,2.4372E6,7.8063E6,4.9159E6,6.3413E6,11,10,3,6,2,5,5,13,4,6,4,8,7,8,Carbamidomethylation; Oxidation (M),24643,TRINITY_DN46124_c0_g2_i1.p1
330,523,TRINITY_DN60252_c0_g1_i1.p1,234.05,35,31,24,24,31,24,24,24,31,24,35,21,31,4.0569E7,4.4239E7,2.4589E7,3.61E7,2.9668E7,1.8012E7,4.9269E7,5.556E7,3.02E7,3.657E7,1.8423E7,3.3755E7,16,13,12,13,10,12,10,10,14,13,11,13,10,12,Oxidation (M); Acetaldehyde +26; Mutation,30869,TRINITY_DN60252_c0_g1_i1.p1
393,384,TRINITY_DN37042_c0_g1_i1.p1,234.02,27,21,17,13,18,13,14,21,18,19,20,13,16,2.8409E7,1.318E7,6.6475E6,1.179E7,8.8967E6,1.1181E7,2.4005E7,2.5208E7,1.1726E7,3.4793E7,8.8269E6,1.6352E7,16,12,12,10,6,8,8,8,17,10,9,14,8,7,Carbamidomethylation; Deamidation (NQ); Mutation,41987,TRINITY_DN37042_c0_g1_i1.p1
176,684,TRINITY_DN22654_c0_g1_i1.p1,233.94,68,58,22,61,58,52,44,32,58,52,52,51,32,1.314E7,,9.966E6,7.5464E6,7.4874E6,4.0409E6,,9.2515E6,1.0921E7,5.4494E6,6.861E6,1.8318E6,18,5,23,10,26,23,20,16,9,31,27,23,23,14,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Dimethylation(KR); 4 more,21353,TRINITY_DN22654_c0_g1_i1.p1
290,375,TRINITY_DN45847_c0_g3_i3.p1,233.91,62,42,51,32,42,32,38,49,34,42,42,32,43,5.93E7,1.0367E8,4.6204E7,7.327E7,5.0727E7,7.1735E7,9.1926E7,6.0715E7,4.156E7,6.1364E7,3.8673E7,6.3277E7,18,11,13,15,12,14,10,13,16,13,11,13,12,13,Carbamidomethylation; Oxidation (M); Methylation(others); Ethylation; Mutation,17711,TRINITY_DN45847_c0_g3_i3.p1
815,450,TRINITY_DN23399_c0_g1_i1.p1,233.83,30,21,14,25,16,9,9,12,13,13,16,12,6,1.1787E7,4.4131E6,7.1007E6,8.185E6,5.1248E6,2.0176E6,5.2278E6,1.125E7,6.2519E6,9.2184E6,5.9714E6,2.1541E6,11,11,9,3,7,5,2,2,3,5,4,5,4,2,Carbamidomethylation; Mutation,30928,TRINITY_DN23399_c0_g1_i1.p1
477,1315,TRINITY_DN47399_c0_g2_i1.p1,233.66,26,17,17,13,17,17,13,21,17,22,17,25,13,4.8251E7,4.0429E7,2.7081E7,7.4945E7,4.3017E7,3.4575E7,2.1086E7,4.8781E7,4.2175E7,2.6252E7,3.2393E7,1.8046E7,11,11,8,7,7,11,8,6,8,11,11,7,10,5,Carbamidomethylation; Oxidation (M); Methylation(KR); Methylation(others); Glycidamide adduct,36939,TRINITY_DN47399_c0_g2_i1.p1
341,886,TRINITY_DN46872_c0_g1_i2.p1,233.55,50,48,35,39,38,43,43,15,45,35,41,39,39,6.7607E7,6.1652E7,3.9602E7,5.7358E7,5.8264E7,9.2409E7,2.1588E7,8.6196E7,3.9505E7,1.0096E8,4.1833E7,4.3395E7,16,16,13,9,9,11,12,15,4,17,10,15,11,10,Carbamidomethylation; Oxidation (M); Pyridylacetyl; Mutation,27975,TRINITY_DN46872_c0_g1_i2.p1
690,253,TRINITY_DN43753_c0_g2_i1.p1,233.54,25,7,7,8,6,10,6,20,9,10,15,7,8,5.5144E6,1.099E7,5.0659E6,4.3756E6,1.1719E7,5.9866E6,2.4287E7,5.8073E6,6.9969E6,1.4121E7,2.9708E6,4.0146E6,14,14,4,5,4,4,6,4,10,5,6,7,4,4,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Mutation,80513,TRINITY_DN43753_c0_g2_i1.p1
610,135,TRINITY_DN47674_c0_g3_i1.p1,233.53,25,6,15,12,9,11,7,16,12,6,9,6,9,3.8457E6,1.454E7,7.3859E6,5.5943E6,9.4316E6,2.9073E6,1.9052E7,1.2051E7,2.8607E6,1.2115E7,1.2471E6,7.1157E6,17,17,3,10,7,6,6,5,11,7,4,6,4,5,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Pyrrolidone from Proline; ISD (z+2)-series,80645,TRINITY_DN47674_c0_g3_i1.p1
498,1247,TRINITY_DN48363_c0_g2_i1.p1,233.45,54,39,54,53,34,54,54,39,39,19,54,39,54,1.4126E7,2.1263E7,1.6007E7,1.5161E7,2.2273E7,2.5766E7,1.1854E7,2.3739E7,1.2055E7,3.1568E7,1.5858E7,1.2588E7,8,8,7,8,6,6,10,10,8,7,5,10,8,9,Carbamidomethylation; Oxidation (M),11798,TRINITY_DN48363_c0_g2_i1.p1
56,629,TRINITY_DN36494_c0_g1_i2.p1,233.45,45,44,40,34,44,44,40,39,45,45,40,40,40,3.3119E8,4.2361E8,2.3174E8,3.5721E8,2.7653E8,1.8345E8,2.3852E8,4.1815E8,3.5072E8,4.1497E8,2.4375E8,3.8236E8,29,12,48,44,38,49,43,40,43,56,53,41,45,51,Oxidation (M); Dihydroxy; Carbamylation; Formylation; Sulphone; 2 more,22238,TRINITY_DN36494_c0_g1_i2.p1
71,270,TRINITY_DN34838_c0_g1_i1.p1,233.07,72,52,61,52,70,63,51,65,70,58,63,66,66,2.1449E8,2.7784E8,2.0413E8,1.8716E8,2.7352E8,1.6215E8,3.1377E8,2.6893E8,1.2138E8,5.2282E8,1.2632E8,2.0603E8,33,12,35,43,39,41,41,36,46,42,28,45,33,42,Carbamidomethylation; Oxidation (M); Amidation; Deoxy; Methylation(others); 3 more,17367,TRINITY_DN34838_c0_g1_i1.p1
812,274,TRINITY_DN41043_c0_g2_i1.p1,232.81,22,2,19,4,10,17,0,8,2,0,10,7,12,9.1995E5,1.7428E7,1.4528E6,7.712E6,2.7526E7,,7.7336E6,1.7759E6,,1.1466E7,1.2348E6,1.4007E7,13,13,1,10,3,5,8,0,5,2,0,6,3,8,Carbamidomethylation; Deoxy; Mutation,56480,TRINITY_DN41043_c0_g2_i1.p1
134,1527,TRINITY_DN7595_c0_g1_i1.p1,232.81,40,26,26,33,26,33,26,14,33,21,26,26,26,3.6773E8,2.2534E8,3.3796E8,3.3337E8,2.1283E8,2.3078E8,1.972E8,3.3072E8,2.3937E8,2.77E8,2.0449E8,2.9283E8,32,30,29,22,24,27,24,24,16,30,18,26,23,33,Carbamidomethylation; Oxidation (M); Acetylation (TSCYH); Sodium adduct; Acetylation (N-term); 5 more,27386,TRINITY_DN7595_c0_g1_i1.p1
502,726,TRINITY_DN45230_c0_g1_i1.p1,232.61,29,20,13,18,14,19,22,18,15,17,28,18,13,1.3402E7,1.4727E7,8.4434E6,1.0771E7,1.6903E7,2.4751E7,1.3748E7,1.0493E7,1.2606E7,4.2076E7,1.3596E7,9.2091E6,14,13,8,6,7,5,8,10,9,6,7,14,7,5,Carbamidomethylation; Oxidation (M); Methylation(KR); Mutation,50577,TRINITY_DN45230_c0_g1_i1.p1
611,1365,TRINITY_DN31092_c0_g1_i1.p1,232.22,35,28,35,28,28,22,28,24,28,22,22,28,35,4.63E7,4.8563E7,3.1107E7,4.3496E7,2.5596E7,3.5179E7,3.6023E7,7.9832E7,2.51E7,2.0046E7,3.0228E7,4.5632E7,10,10,6,6,6,8,6,5,4,7,6,4,7,9,Oxidation (M); Amidation; Ubiquitin; Mutation,21109,TRINITY_DN31092_c0_g1_i1.p1
356,123,TRINITY_DN48300_c0_g2_i1.p1,232.16,44,33,31,30,25,30,31,27,32,18,35,19,25,2.2396E7,4.895E7,1.6444E7,1.8301E7,2.4236E7,2.7412E7,2.491E7,2.8206E7,8.8788E6,5.4541E7,1.0806E7,2.3766E7,15,15,12,12,10,9,12,14,11,11,7,15,7,9,Carbamidomethylation; Pyro-glu from Q; Mutation,37618,TRINITY_DN48300_c0_g2_i1.p1
239,1222,TRINITY_DN38888_c0_g1_i1.p1,232.07,30,24,24,24,24,24,24,24,24,24,24,24,30,2.0701E8,3.1813E8,1.567E8,2.2057E8,2.058E8,2.8978E8,1.974E8,1.8516E8,2.1214E8,2.4821E8,1.5175E8,2.3448E8,11,11,13,17,16,14,12,23,14,15,17,16,15,19,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Formylation; Mutation,21220,TRINITY_DN38888_c0_g1_i1.p1
678,536,TRINITY_DN46837_c0_g2_i1.p1,231.88,63,44,53,30,41,41,36,48,27,22,44,22,22,4.8709E7,6.506E7,3.658E7,3.8293E7,3.3113E7,3.5406E7,4.2687E7,4.9973E7,2.3665E7,6.4666E7,2.2782E7,3.2347E7,9,9,7,9,5,6,5,5,6,5,3,7,3,4,Carbamidomethylation; Mutation,17775,TRINITY_DN46837_c0_g2_i1.p1
126,2216,TRINITY_DN31261_c1_g1_i1.p1,231.85,29,22,22,21,22,21,21,21,21,25,28,28,23,2.5849E8,2.523E8,1.4293E8,2.9348E8,1.4555E8,1.6417E8,1.4829E8,3.8156E8,2.5438E8,3.8823E8,1.7364E8,2.1403E8,13,13,29,22,24,31,24,24,17,30,34,28,32,29,Oxidation (M); Dihydroxy; Deamidation (NQ); Sodium adduct; Dehydration; 5 more,22010,TRINITY_DN31261_c1_g1_i1.p1
566,1376,TRINITY_DN41229_c0_g1_i1.p1,231.75,36,25,25,22,27,36,25,15,32,27,15,22,22,1.8057E7,1.7216E7,2.0294E7,3.1589E7,3.4397E7,1.1201E7,1.1927E7,2.8904E7,2.4294E7,1.3803E7,1.3832E7,1.3486E7,10,10,6,5,7,9,11,5,4,8,10,4,6,6,Carbamidomethylation; Oxidation (M); Methylation(others); Oxidation or Hydroxylation; Mutation,38465,TRINITY_DN41229_c0_g1_i1.p1
319,1797,TRINITY_DN36671_c0_g1_i2.p1,231.73,35,27,27,10,35,27,35,18,27,23,27,27,35,5.2878E6,3.2398E6,,1.8829E6,5.5428E6,1.2562E6,,1.3704E6,1.2386E6,5.6853E6,2.8169E6,2.0865E6,17,5,13,10,12,13,14,13,9,14,10,13,13,9,Carbamidomethylation; Carbamidomethylation (DHKE  X@N-term); Mutation,14708,TRINITY_DN36671_c0_g1_i2.p1
335,357,TRINITY_DN44489_c0_g1_i2.p1,231.36,42,35,9,29,35,38,24,16,32,31,30,25,17,9.8272E7,9.9794E6,4.4596E7,5.324E7,7.6236E7,7.0303E7,1.1739E7,1.2139E8,8.2162E7,7.8995E7,3.0203E7,2.1028E7,18,18,16,3,13,14,17,12,6,15,12,13,10,6,Carbamidomethylation; Oxidation (M); Deoxy; Mutation,33901,TRINITY_DN44489_c0_g1_i2.p1
294,1218,TRINITY_DN45003_c0_g2_i3.p2,231.35,78,78,74,74,74,74,74,74,74,74,74,62,74,7.0991E7,2.9787E7,3.5117E7,2.5924E7,3.535E7,1.1293E8,2.6299E7,8.0957E7,3.4745E7,9.7069E7,3.2138E7,2.2718E7,8,8,17,9,11,9,12,20,10,14,11,17,11,12,Carbamidomethylation; Oxidation (M); Deoxy,11157,TRINITY_DN45003_c0_g2_i3.p2
870,966,TRINITY_DN27605_c0_g1_i2.p1,231.15,62,51,12,51,32,44,39,7,46,36,39,62,12,1.9346E7,2.0111E6,1.5476E7,7.6619E6,6.0149E6,6.7114E6,1.0176E6,1.4354E7,1.1319E7,1.0256E7,1.1514E7,1.5637E6,8,8,6,1,6,3,4,4,1,5,4,4,7,1,Carbamidomethylation; Carboxylation (DKW),14962,TRINITY_DN27605_c0_g1_i2.p1
259,217,TRINITY_DN39262_c0_g1_i1.p1,231.12,39,36,29,32,29,29,21,33,29,24,26,22,22,1.0778E8,6.7755E7,7.3499E7,6.453E7,8.3254E7,5.4984E7,7.3181E7,1.0216E8,3.9704E7,9.8821E7,3.6513E7,3.6931E7,21,21,17,14,17,13,17,13,16,19,13,14,11,11,Carbamidomethylation; Oxidation (M); Acetylation (K); Amidation; Ethylation; Mutation,33180,TRINITY_DN39262_c0_g1_i1.p1
417,427,TRINITY_DN29657_c0_g1_i1.p1,230.82,41,22,26,32,37,23,5,14,35,19,37,22,28,2.3374E7,1.8184E7,2.142E7,3.9566E7,2.8194E7,1.3135E6,8.7383E6,4.1835E7,1.6511E7,4.2072E7,1.0182E7,2.3545E7,13,13,8,8,10,16,11,1,4,15,7,12,7,10,Oxidation (M); Deoxy; Methylation(others); Mutation,37479,TRINITY_DN29657_c0_g1_i1.p1
519,434,TRINITY_DN3415_c0_g1_i1.p1,230.66,31,19,13,15,15,12,20,5,18,18,20,16,10,2.4661E7,5.5427E6,1.1695E7,1.7776E7,9.2423E6,1.0583E7,2.8181E6,3.5193E7,1.2954E7,1.6283E7,1.2634E7,5.7909E6,12,11,9,5,7,10,7,7,3,10,10,9,8,5,Carbamidomethylation; Oxidation (M); Acetylation (TSCYH); Deamidation (NQ); Mutation,38490,TRINITY_DN3415_c0_g1_i1.p1
199,719,TRINITY_DN46563_c0_g1_i2.p1,230.50,61,44,44,56,49,39,44,39,49,49,40,39,39,1.3261E8,1.4974E8,6.3949E7,1.2776E8,1.132E8,1.8245E8,7.5333E7,1.8607E8,1.04E8,1.7758E8,8.3187E7,1.0162E8,26,26,21,20,16,20,20,25,16,20,23,21,13,17,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Replacement of proton by copper; Mutation,25301,TRINITY_DN46563_c0_g1_i2.p1
471,1491,TRINITY_DN46238_c0_g1_i1.p1,230.45,38,19,30,18,26,24,24,29,28,7,34,3,32,1.4836E7,3.8025E7,4.5564E6,2.6607E7,2.1733E7,1.4838E7,1.5379E7,2.2724E7,5.7396E6,8.4586E7,1.1665E6,3.8651E7,18,18,7,11,5,10,10,9,8,9,3,14,1,12,Oxidation (M); Oxidation (HW); Mutation,36360,TRINITY_DN46238_c0_g1_i1.p1
471,1492,TRINITY_DN46238_c0_g1_i5.p1,230.45,38,19,30,18,26,24,24,29,28,7,34,3,32,1.4836E7,3.8025E7,4.5564E6,2.6607E7,2.1733E7,1.4838E7,1.5379E7,2.2724E7,5.7396E6,8.4586E7,1.1665E6,3.8651E7,18,18,7,11,5,10,10,9,8,9,3,14,1,12,Oxidation (M); Oxidation (HW); Mutation,36360,TRINITY_DN46238_c0_g1_i5.p1
471,1493,TRINITY_DN46238_c0_g1_i4.p1,230.45,38,19,30,18,26,24,24,29,28,7,34,3,32,1.4836E7,3.8025E7,4.5564E6,2.6607E7,2.1733E7,1.4838E7,1.5379E7,2.2724E7,5.7396E6,8.4586E7,1.1665E6,3.8651E7,18,18,7,11,5,10,10,9,8,9,3,14,1,12,Oxidation (M); Oxidation (HW); Mutation,36360,TRINITY_DN46238_c0_g1_i4.p1
471,1494,TRINITY_DN46238_c0_g1_i3.p1,230.45,38,19,30,18,26,24,24,29,28,7,34,3,32,1.4836E7,3.8025E7,4.5564E6,2.6607E7,2.1733E7,1.4838E7,1.5379E7,2.2724E7,5.7396E6,8.4586E7,1.1665E6,3.8651E7,18,18,7,11,5,10,10,9,8,9,3,14,1,12,Oxidation (M); Oxidation (HW); Mutation,36360,TRINITY_DN46238_c0_g1_i3.p1
196,284,TRINITY_DN44580_c0_g1_i1.p1,229.79,69,51,39,26,39,49,42,6,48,18,66,38,28,1.3799E8,5.2975E7,2.9489E7,6.1156E7,1.2098E8,1.3627E8,6.9088E5,1.3359E8,3.855E7,6.2801E8,6.3881E7,5.2932E7,35,30,28,13,13,14,27,25,2,22,10,48,18,13,Carbamidomethylation; Deamidation (NQ); Methylation(KR); Carboxylation (DKW); MDA adduct +62; 6 more,37414,TRINITY_DN44580_c0_g1_i1.p1
287,108,TRINITY_DN45197_c0_g1_i2.p1,229.71,32,13,21,12,13,24,18,22,15,5,17,11,23,9.7697E6,3.7116E7,1.4729E7,1.7892E7,2.5408E7,2.1752E7,3.0861E7,2.1651E7,3.7934E6,3.5424E7,7.8269E6,3.1154E7,24,24,8,18,10,11,18,15,18,15,4,12,8,19,Carbamidomethylation; Oxidation (M); Dimethylation(KR); Ethylation; Acetylation (Protein N-term); Mutation,85145,TRINITY_DN45197_c0_g1_i2.p1
328,477,TRINITY_DN36035_c0_g1_i1.p2,229.33,55,28,25,23,42,25,23,35,39,32,18,36,21,1.1661E8,6.598E7,6.7742E7,1.1057E8,8.0273E7,5.2748E7,7.4986E7,1.1656E8,1.1868E8,5.5154E7,5.8852E7,5.7693E7,18,18,14,10,11,15,10,11,13,15,15,6,10,11,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Deoxy; 3 more,36769,TRINITY_DN36035_c0_g1_i1.p2
732,149,TRINITY_DN44075_c0_g2_i1.p1,229.06,46,5,43,15,13,14,0,36,10,5,22,0,10,5.3743E6,3.8642E7,1.5101E7,2.7346E6,3.0348E6,,5.4033E7,6.2472E6,9.3473E5,7.5977E6,,3.0649E6,15,15,2,13,4,4,4,0,16,4,2,6,0,3,Oxidation (M); Methylation(others); Michael addition with methylamine; Pyro-glu from Q,33984,TRINITY_DN44075_c0_g2_i1.p1
709,345,TRINITY_DN37701_c0_g1_i1.p1,228.90,32,13,27,19,22,17,12,21,23,14,16,7,22,3.1159E6,1.3087E7,2.7605E6,6.5551E6,3.0632E6,2.7567E6,1.1242E7,3.9072E6,4.4891E6,3.961E6,1.5811E6,4.6583E6,10,10,4,8,5,7,5,4,7,5,5,3,2,6,,38418,TRINITY_DN37701_c0_g1_i1.p1
277,388,TRINITY_DN43550_c0_g1_i1.p1,228.82,39,19,29,22,24,23,24,29,27,18,31,24,26,2.8604E7,4.1934E7,2.0345E7,3.7108E7,1.965E7,3.6475E7,4.7752E7,4.9005E7,1.9596E7,3.535E7,2.1348E7,2.821E7,20,20,11,16,11,15,13,16,16,15,9,16,12,14,Carbamidomethylation; Methylation(KR); Methylation(others); Acetylation (Protein N-term); Mutation,56130,TRINITY_DN43550_c0_g1_i1.p1
861,555,TRINITY_DN1159_c0_g1_i1.p1,228.70,52,31,12,47,35,52,19,17,31,0,42,27,40,4.166E6,5.8115E5,5.6731E6,3.8515E6,1.0302E7,1.8059E6,1.0324E6,3.2245E6,,1.1114E7,1.1212E6,2.174E6,7,7,5,1,7,7,7,2,2,4,0,6,2,4,Oxidation (M); Deamidation (NQ),17070,TRINITY_DN1159_c0_g1_i1.p1
78,718,TRINITY_DN32051_c0_g1_i2.p1,228.34,36,28,18,21,25,22,22,21,23,27,31,22,27,5.1943E8,3.3932E8,2.5297E8,4.0988E8,2.4877E8,2.5816E8,2.0371E8,5.9719E8,4.0029E8,5.3086E8,2.6093E8,2.722E8,31,8,43,32,29,40,38,30,23,45,41,39,29,40,Oxidation (M); Dihydroxy; Phosphorylation (STY); Sodium adduct; Acetylation (N-term); 2 more,25325,TRINITY_DN32051_c0_g1_i2.p1
537,238,TRINITY_DN27474_c0_g1_i1.p1,228.32,27,18,21,21,11,14,11,23,23,9,22,5,19,1.1373E7,2.0448E7,8.8863E6,6.5382E6,7.9147E6,1.0998E7,3.0556E7,2.0233E7,3.9756E6,2.9644E7,4.1899E6,1.1793E7,13,13,8,10,8,5,6,5,12,10,4,9,3,7,Oxidation (M); Deamidation (NQ); Mutation,55147,TRINITY_DN27474_c0_g1_i1.p1
528,1194,TRINITY_DN40050_c0_g3_i1.p1,228.13,36,19,19,27,36,15,27,15,15,14,15,15,27,2.04E7,3.8036E7,1.7581E7,2.7518E7,1.5493E7,2.429E7,2.5073E7,2.9278E7,1.4175E7,2.6014E7,1.6241E7,2.5645E7,8,8,7,10,8,13,5,9,8,5,4,8,3,9,Carbamidomethylation; Oxidation (M),19686,TRINITY_DN40050_c0_g3_i1.p1
773,1111,TRINITY_DN47957_c0_g1_i2.p1,227.21,23,4,19,16,17,16,5,18,4,8,2,5,8,8.8543E5,1.2531E7,2.8961E6,5.5986E6,6.1357E6,5.4679E5,1.7263E7,8.9281E5,2.1077E6,7.9182E5,5.5748E5,1.5797E6,10,10,2,9,6,7,7,1,10,2,3,1,2,4,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Methylation(KR); Methylation(others); Mutation,58223,TRINITY_DN47957_c0_g1_i2.p1
128,1691,TRINITY_DN27292_c0_g1_i1.p1,227.16,66,48,30,31,34,46,57,35,48,48,54,53,32,3.028E7,3.5045E6,1.2103E7,2.1148E7,1.3833E7,4.2893E7,1.7948E7,3.1338E7,2.5544E7,2.2311E8,3.492E7,7.6221E6,28,11,35,14,23,30,25,30,20,34,22,35,33,13,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Methylation(KR); 5 more,14793,TRINITY_DN27292_c0_g1_i1.p1
544,1355,TRINITY_DN33127_c0_g1_i1.p1,227.02,42,37,31,23,31,31,29,25,35,31,29,29,35,1.0024E8,4.9146E7,4.3298E7,7.1946E7,3.5238E7,2.9685E7,1.8216E7,5.3552E7,8.2463E7,4.9287E7,2.4953E7,6.3264E7,22,22,6,7,4,7,3,4,7,10,15,7,10,6,Deoxy; Mutation,22726,TRINITY_DN33127_c0_g1_i1.p1
452,743,TRINITY_DN28430_c0_g1_i1.p1,226.76,64,45,64,34,45,55,34,64,45,27,45,37,55,1.6217E7,5.266E7,1.8609E7,9.4654E6,3.3828E7,3.4097E6,4.8561E7,1.9646E7,2.3442E6,2.4332E7,2.6402E6,2.5208E7,12,12,9,14,5,8,11,6,15,7,3,7,5,12,Oxidation (M); Dimethylation(KR); Methylation(others); Pyro-glu from Q; N-Succinimidyl-2-morpholine acetate; Mutation,20021,TRINITY_DN28430_c0_g1_i1.p1
490,395,TRINITY_DN27772_c0_g1_i1.p1,226.46,37,16,15,16,18,21,11,35,14,11,18,11,24,1.4819E7,3.6318E7,1.119E7,2.2493E7,2.8438E7,4.4816E6,5.3624E7,8.5055E6,2.0261E6,4.1471E7,3.0599E6,3.5972E7,18,18,8,8,8,10,13,4,14,5,3,11,3,11,Carbamidomethylation; Ethyl amino; Pyrrolidone from Proline; N-Succinimidyl-2-morpholine acetate; Mutation,39337,TRINITY_DN27772_c0_g1_i1.p1
210,666,TRINITY_DN20042_c0_g1_i1.p1,226.34,51,51,38,51,51,51,44,32,39,44,45,50,45,8.9936E7,7.1454E7,1.0082E8,7.3362E7,8.3523E7,5.2476E7,3.7256E7,1.3514E8,4.7478E7,1.4739E8,8.1211E7,6.5707E7,13,13,22,16,21,18,19,14,11,25,14,25,21,16,Oxidation (M); Formylation; Pyro-glu from Q,12995,TRINITY_DN20042_c0_g1_i1.p1
625,461,TRINITY_DN41241_c0_g1_i2.p1,225.76,45,36,39,23,26,23,32,12,34,8,45,19,35,1.2275E7,2.8277E7,5.437E6,8.6332E6,4.2267E6,2.3188E7,8.3601E6,2.0615E7,3.3825E6,3.2674E7,8.7024E6,1.333E7,10,10,7,9,4,4,3,9,3,7,2,13,3,8,Oxidation (M); Deamidation (NQ); Biotinylation; Mutation,26708,TRINITY_DN41241_c0_g1_i2.p1
625,470,TRINITY_DN41241_c0_g1_i1.p1,225.76,45,36,39,23,26,23,32,13,34,8,45,19,35,1.2275E7,2.8277E7,5.437E6,8.6332E6,4.2267E6,2.3188E7,8.3601E6,2.0615E7,3.3825E6,3.2674E7,8.7024E6,1.333E7,10,10,7,9,4,4,3,9,3,7,2,13,3,8,Oxidation (M); Deamidation (NQ); Biotinylation; Mutation,26565,TRINITY_DN41241_c0_g1_i1.p1
276,721,TRINITY_DN41652_c0_g1_i1.p1,225.76,36,27,33,29,24,26,19,36,29,17,29,20,29,1.1708E7,5.7579E7,2.1689E7,2.0757E7,2.55E7,6.8049E6,5.3222E7,2.7459E7,7.7965E6,3.651E7,7.6496E6,3.1338E7,25,25,10,19,14,11,17,8,23,13,8,15,10,16,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Deoxy; Mutation,45613,TRINITY_DN41652_c0_g1_i1.p1
443,275,TRINITY_DN44490_c0_g1_i2.p1,225.73,63,53,12,40,32,37,12,15,40,26,18,33,6,2.0827E6,,9.8579E5,1.9003E6,1.3797E6,,,3.863E6,,,,0,15,2,15,3,12,10,13,4,4,15,11,7,9,1,Oxidation (M); Deamidation (NQ); Deoxy; Oxidation or Hydroxylation; Mutation,29759,TRINITY_DN44490_c0_g1_i2.p1
965,566,TRINITY_DN44465_c0_g1_i1.p1,225.40,34,9,23,17,17,17,9,9,15,9,21,9,9,6.074E6,1.2018E7,4.896E6,5.8119E6,9.1169E6,7.3057E6,7.5703E6,7.9822E6,5.1021E6,1.7423E7,5.8003E6,5.351E6,6,6,2,6,4,3,4,3,3,3,2,5,2,3,Carbamidomethylation; Oxidation (M),28457,TRINITY_DN44465_c0_g1_i1.p1
